Product_Category,Product_Price,Order_Quantity,Return_Status,User_Age,User_Gender,User_Location,Payment_Method,Shipping_Method,Discount_Applied,Total_Value,Discount_Percentage,Price_Category,Age_Group,Order_Month,Order_Weekday,Is_Weekend
1,411.59,3,1,58,1,50,1,1,45.27,1234.77,10.9988094948857,2,2,8,5,1
0,288.88,3,1,68,0,84,0,0,47.79,866.64,16.5432013292717,1,3,10,0,0
4,390.03,5,1,22,0,24,1,1,26.64,1950.15,6.83024382739789,2,0,5,5,1
4,401.09,3,1,40,1,95,3,1,15.37,1203.27,3.83205764292304,2,1,8,3,0
0,110.09,4,0,34,0,79,2,2,16.37,440.36,14.869652102825,0,1,1,0,0
2,252.12,1,1,46,0,42,1,1,47.61,252.12,18.8838648262732,1,2,2,2,0
1,382.89,2,1,25,1,46,0,0,28.49,765.78,7.44077933610175,2,0,5,0,0
2,306.39,3,1,67,0,33,0,0,38.91,919.17,12.6995006364438,1,3,2,3,0
3,302.4,5,1,54,1,80,1,2,18.5,1512,6.11772486772487,1,2,12,2,0
1,294.94,3,1,44,1,81,0,2,45.21,884.82,15.3285413982505,1,2,3,4,0
4,119,2,0,70,0,36,0,1,8.72,238,7.32773109243698,0,3,5,6,1
3,480.48,4,0,54,1,15,2,1,0.27,1921.92,0.0561938061938062,2,2,2,3,0
4,216.41,3,0,66,1,9,3,2,30.26,649.23,13.9827179890024,1,3,6,4,0
2,198.78,2,0,51,1,84,3,1,36.58,397.56,18.402253747862,1,2,7,5,1
2,146.37,4,0,45,1,89,3,1,28.23,585.48,19.2867390858783,0,2,9,6,1
2,370.08,2,1,24,0,20,0,2,23.99,740.16,6.48238218763511,2,0,10,2,0
1,311.08,1,0,52,0,75,3,2,6.66,311.08,2.14092837855214,1,2,5,3,0
2,400.12,1,0,33,1,27,3,2,18.25,400.12,4.56113166050185,2,1,2,4,0
0,358.31,1,0,51,0,38,3,2,11.84,358.31,3.30440121682342,2,2,10,0,0
2,227.94,5,1,50,0,61,1,0,43.86,1139.7,19.2419057646749,1,2,7,5,1
1,6.14,1,0,31,0,68,0,1,47.47,6.14,773.127035830619,0,1,7,0,0
0,85.69,2,0,30,0,19,1,2,24.58,171.38,28.6847940249737,0,1,2,2,0
0,227.2,5,1,65,0,90,2,1,27.94,1136,12.2975352112676,1,3,7,5,1
2,57.14,2,0,41,0,21,2,2,43.06,114.28,75.3587679383969,0,2,7,0,0
4,274.29,2,0,18,1,83,2,0,2.49,548.58,0.907798315651318,1,0,7,5,1
2,371.15,5,1,58,0,82,2,2,18.68,1855.75,5.0330055233733,2,2,11,4,0
4,232.97,5,0,21,0,98,1,0,9.85,1164.85,4.22801219041078,1,0,3,6,1
3,455.82,1,0,52,0,1,3,0,11.96,455.82,2.62384274494318,2,2,5,6,1
4,106.6,5,0,53,1,66,0,2,18.42,533,17.2795497185741,0,2,5,2,0
0,317.9,5,1,59,0,26,2,2,18.05,1589.5,5.67788612771312,1,2,4,5,1
4,413.34,3,1,49,1,51,0,2,38.29,1240.02,9.26356026515702,2,2,5,1,0
2,481.73,5,1,28,0,77,0,1,20.03,2408.65,4.15793079110705,2,1,12,5,1
4,308.89,4,1,68,0,42,1,0,35.45,1235.56,11.4765774223834,1,3,6,6,1
3,335.28,4,1,18,1,13,1,1,25.37,1341.12,7.56680983058936,2,0,2,5,1
4,290.49,3,0,34,1,37,3,1,8.51,871.47,2.92953285827395,1,1,9,3,0
1,331.26,2,1,46,0,95,3,2,41.02,662.52,12.3830223993238,1,2,7,1,0
2,115.82,5,0,54,0,38,0,0,23.76,579.1,20.5145916076671,0,2,1,6,1
1,246.15,1,0,31,0,59,2,2,23.63,246.15,9.5998374974609,1,1,2,5,1
4,43.82,2,0,28,0,3,0,1,14.6,87.64,33.3181195801004,0,1,2,4,0
4,266.34,4,1,44,0,57,3,2,30.88,1065.36,11.5942028985507,1,2,10,6,1
4,351.52,1,0,46,1,37,3,1,11.58,351.52,3.29426490669094,2,2,3,1,0
0,334.27,4,1,69,1,80,3,0,43.44,1337.08,12.9954826936309,1,3,1,2,0
0,240.65,2,0,33,0,58,2,2,12.93,481.3,5.37294826511531,1,1,2,5,1
1,105.7,3,0,44,1,36,0,1,42.07,317.1,39.8013245033113,0,2,5,3,0
3,188.76,3,0,66,0,4,2,2,12.68,566.28,6.71752489934308,1,3,10,3,0
4,294.18,2,0,69,1,88,2,1,32.7,588.36,11.1156434835815,1,3,11,2,0
3,97.31,2,0,53,0,44,1,1,10.96,194.62,11.2629740006166,0,2,5,0,0
3,335.96,2,1,63,1,45,0,2,19.05,671.92,5.6703178949875,2,3,10,2,0
2,344.31,4,0,36,1,65,0,0,10.99,1377.24,3.19189102843368,2,1,4,4,0
1,297.62,4,0,52,1,49,0,0,16.9,1190.48,5.67838182917815,1,2,3,3,0
0,23.6,1,0,37,0,4,0,1,6.53,23.6,27.6694915254237,0,1,6,2,0
4,495.34,3,1,46,0,46,1,0,43.34,1486.02,8.74954576654419,2,2,3,2,0
4,49.47,2,0,53,0,41,0,0,38.09,98.94,76.9961592884577,0,2,2,3,0
1,359.9,3,0,55,0,16,1,2,3.01,1079.7,0.836343428730203,2,2,3,1,0
3,283.79,2,1,42,1,74,1,1,30.81,567.58,10.8566193311956,1,2,2,6,1
3,352.93,4,1,34,1,25,2,0,22.83,1411.72,6.46870484232001,2,1,4,6,1
2,353.51,4,0,39,0,17,1,2,17.72,1414.04,5.01258804559984,2,1,2,6,1
0,301.68,2,0,47,1,8,3,2,30.59,603.36,10.1398833200743,1,2,9,6,1
3,129.94,5,0,65,0,31,3,1,12.83,649.7,9.87378790210867,0,3,5,0,0
2,16.37,2,0,32,1,62,0,1,16.08,32.74,98.2284667073916,0,1,2,0,0
0,389.83,4,0,40,0,39,2,0,12.23,1559.32,3.13726496164995,2,1,10,5,1
3,344.6,4,1,28,0,79,3,1,40.95,1378.4,11.8833430063842,2,1,11,2,0
